num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
23;In Deutschland sind die meisten Erwerbst\'e4tigen ...;bei einer Firma oder Beh\'f6rde besch\'e4ftigt.;in kleinen Familienunternehmen besch\'e4ftigt.;ehrenamtlich f\'fcr ein Bundesland t\'e4tig.;selbst\'e4ndig mit einer eigenen Firma t\'e4tig.;a;politik;Politik in der Demokratie;Sozialsystem;-;\
24;Wie viele Bundesl\'e4nder hat die Bundesrepublik Deutschland?;14;15;16;17;c;politik;Politik in der Demokratie;F\'f6deralismus;-;\
25;Was ist kein Bundesland der Bundesrepublik Deutschland?;Nordrhein-Westfalen;Elsass-Lothringen;Mecklenburg-Vorpommern;Sachsen-Anhalt;b;politik;Politik in der Demokratie;F\'f6deralismus;-;\
26;Deutschland ist ...;eine kommunistische Republik.;ein demokratischer und sozialer Bundesstaat.;eine kapitalistische und soziale Monarchie.;ein sozialer und sozialistischer Bundesstaat.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
27;Deutschland ist ...;ein sozialistischer Staat.;ein Bundesstaat.;eine Diktatur.;eine Monarchie.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
28;Wer w\'e4hlt in Deutschland die Abgeordneten zum Bundestag?;das Milit\'e4r;die Wirtschaft;das wahlberechtigte Volk;die Verwaltung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
29;Welches Tier ist das Wappentier der Bundesrepublik Deutschland?;L\'f6we;Adler;B\'e4r;Pferd;b;politik;Politik in der Demokratie;Staatssymbole;-;\
30;Was ist kein Merkmal unserer Demokratie?;regelm\'e4\'dfige Wahlen;Pressezensur;Meinungsfreiheit;verschiedene Parteien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
31;Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...;Einheit.;Koalition.;Ministerium.;Fraktion.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
32;Was ist keine staatliche Gewalt in Deutschland?;Gesetzgebung;Regierung;Presse;Rechtsprechung;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
33;Welche Aussage ist richtig? In Deutschland ...;sind Staat und Religionsgemeinschaften voneinander getrennt.;bilden die Religionsgemeinschaften den Staat.;ist der Staat abh\'e4ngig von den Religionsgemeinschaften.;bilden Staat und Religionsgemeinschaften eine Einheit.;a;gesellschaft;Mensch und Gesellschaft;Religi\'f6se Vielfalt;-;\
34;Was ist Deutschland nicht?;eine Demokratie;ein Rechtsstaat;eine Monarchie;ein Sozialstaat;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
35;Womit finanziert der deutsche Staat die Sozialversicherung?;Kirchensteuern;Sozialabgaben;Spendengeldern;Vereinsbeitr\'e4gen;b;politik;Politik in der Demokratie;Sozialsystem;-;\
36;Welche Ma\'dfnahme schafft in Deutschland soziale Sicherheit?;die Krankenversicherung;die Autoversicherung;die Geb\'e4udeversicherung;die Haftpflichtversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;\
37;Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesl\'e4nder in Deutschland genannt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Senator / Senatorin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;politik;Politik in der Demokratie;F\'f6deralismus;-;\
38;Die Bundesrepublik Deutschland ist ein demokratischer und sozialer ...;Staatenverbund.;Bundesstaat.;Staatenbund.;Zentralstaat.;b;politik;Politik in der Demokratie;F\'f6deralismus;-;\
39;Was hat jedes deutsche Bundesland?;einen eigenen Au\'dfenminister / eine eigene Au\'dfenministerin;eine eigene W\'e4hrung;eine eigene Armee;eine eigene Regierung;d;politik;Politik in der Demokratie;F\'f6deralismus;-;\
40;Mit welchen Worten beginnt die deutsche Nationalhymne?;V\'f6lker, h\'f6rt die Signale \'85;Einigkeit und Recht und Freiheit \'85;Freude sch\'f6ner G\'f6tterfunken \'85;Deutschland einig Vaterland \'85;b;politik;Politik in der Demokratie;Staatssymbole;-;\
41;Warum gibt es in einer Demokratie mehr als eine Partei?;weil dadurch die unterschiedlichen Meinungen der B\'fcrger und B\'fcrgerinnen vertreten werden;damit Bestechung in der Politik begrenzt wird;um politische Demonstrationen zu verhindern;um wirtschaftlichen Wettbewerb anzuregen;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
42;Wer beschlie\'dft in Deutschland ein neues Gesetz?;die Regierung;das Parlament;die Gerichte;die Polizei;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
43;Wann kann in Deutschland eine Partei verboten werden?;wenn ihr Wahlkampf zu teuer ist;wenn sie gegen die Verfassung k\'e4mpft;wenn sie Kritik am Staatsoberhaupt \'e4u\'dfert;wenn ihr Programm eine neue Richtung vorschl\'e4gt;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
44;Wen kann man als B\'fcrger / B\'fcrgerin in Deutschland nicht direkt w\'e4hlen?;Abgeordnete des EU-Parlaments;den Bundespr\'e4sidenten / die Bundespr\'e4sidentin;Landtagsabgeordnete;Bundestagsabgeordnete;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
45;Zu welcher Versicherung geh\'f6rt die Pflegeversicherung?;Sozialversicherung;Unfallversicherung;Hausratversicherung;Haftpflicht- und Feuerversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;\
46;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe geh\'f6rt dazu?;Er baut Stra\'dfen und Schulen.;Er verkauft Lebensmittel und Kleidung.;Er versorgt alle Einwohner und Einwohnerinnen kostenlos mit Zeitungen.;Er produziert Autos und Busse.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;\
47;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe geh\'f6rt nicht dazu?;Er bezahlt f\'fcr alle Staatsangeh\'f6rigen Urlaubsreisen.;Er zahlt Kindergeld.;Er unterst\'fctzt Museen.;Er f\'f6rdert Sportler und Sportlerinnen.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;\
48;Welches Organ geh\'f6rt nicht zu den Verfassungsorganen Deutschlands?;der Bundesrat;der Bundespr\'e4sident / die Bundespr\'e4sidentin;die B\'fcrgerversammlung;die Regierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
49;Wer bestimmt in Deutschland die Schulpolitik?;die Lehrer und Lehrerinnen;die Bundesl\'e4nder;das Familienministerium;die Universit\'e4ten;b;politik;Politik in der Demokratie;F\'f6deralismus;-;\
50;Die Wirtschaftsform in Deutschland nennt man ...;freie Zentralwirtschaft.;soziale Marktwirtschaft.;gelenkte Zentralwirtschaft.;Planwirtschaft.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
51;Zu einem demokratischen Rechtsstaat geh\'f6rt es nicht, dass ...;Menschen sich kritisch \'fcber die Regierung \'e4u\'dfern k\'f6nnen.;B\'fcrger friedlich demonstrieren gehen d\'fcrfen.;Menschen von einer Privatpolizei ohne Grund verhaftet werden.;jemand ein Verbrechen begeht und deshalb verhaftet wird.;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
52;Was bedeutet \'84Volkssouver\'e4nit\'e4t\'93? Alle Staatsgewalt geht vom ...;Volke aus.;Bundestag aus.;preu\'dfischen K\'f6nig aus.;Bundesverfassungsgericht aus.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
53;Was bedeutet \'84Rechtsstaat\'93 in Deutschland?;Der Staat hat Recht.;Es gibt nur rechte Parteien.;Die B\'fcrger und B\'fcrgerinnen entscheiden \'fcber Gesetze.;Der Staat muss die Gesetze einhalten.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
54;Was ist keine staatliche Gewalt in Deutschland?;Legislative;Judikative;Exekutive;Direktive;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
55;Was zeigt dieses Bild?;den Bundestagssitz in Berlin;das Bundesverfassungsgericht in Karlsruhe;das Bundesratsgeb\'e4ude in Berlin;das Bundeskanzleramt in Berlin;a;politik;Politik in der Demokratie;Verfassungsorgane;frage_55;image\
56;Welches Amt geh\'f6rt in Deutschland zur Gemeindeverwaltung?;Pfarramt;Ordnungsamt;Finanzamt;Ausw\'e4rtiges Amt;b;politik;Politik in der Demokratie;Kommune;-;difficult\
57;Wer wird meistens zum Pr\'e4sidenten / zur Pr\'e4sidentin des Deutschen Bundestages gew\'e4hlt?;der / die \'e4lteste Abgeordnete im Parlament;der Ministerpr\'e4sident / die Ministerpr\'e4sidentin des gr\'f6\'dften Bundeslandes;ein Abgeordneter / eine Abgeordnete der st\'e4rksten Fraktion;ein ehemaliger Bundeskanzler / eine ehemalige Bundeskanzlerin;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
58;Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?;der Pr\'e4sident / die Pr\'e4sidentin des Bundesverfassungsgerichtes;der Bundespr\'e4sident / die Bundespr\'e4sidentin;der Bundesratspr\'e4sident / die Bundesratspr\'e4sidentin;der Bundestagspr\'e4sident / die Bundestagspr\'e4sidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
59;Welche Parteien wurden in Deutschland 2007 zur Partei \'84Die Linke\'93?;CDU und SSW;PDS und WASG;CSU und FDP;B\'fcndnis 90/Die Gr\'fcnen und SPD;b;politik;Politik in der Demokratie;Parteien;-;date\
60;In Deutschland geh\'f6ren der Bundestag und der Bundesrat zur ...;Exekutive.;Legislative.;Direktive.;Judikative.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;difficult\
61;Was bedeutet \'84Volkssouver\'e4nit\'e4t\'93?;Der K\'f6nig / die K\'f6nigin herrscht \'fcber das Volk.;Das Bundesverfassungsgericht steht \'fcber der Verfassung.;Die Interessenverb\'e4nde \'fcben die Souver\'e4nit\'e4t zusammen mit der Regierung aus.;Die Staatsgewalt geht vom Volke aus.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
62;Wenn das Parlament eines deutschen Bundeslandes gew\'e4hlt wird, nennt man das ...;Kommunalwahl.;Landtagswahl.;Europawahl.;Bundestagswahl.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult\
63;Was geh\'f6rt in Deutschland nicht zur Exekutive?;die Polizei;die Gerichte;das Finanzamt;die Ministerien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
64;Die Bundesrepublik Deutschland ist heute gegliedert in ...;vier Besatzungszonen.;einen Oststaat und einen Weststaat.;16 Kantone.;Bund, L\'e4nder und Kommunen.;d;politik;Politik in der Demokratie;F\'f6deralismus;-;\
65;Es geh\'f6rt nicht zu den Aufgaben des Deutschen Bundestages, ...;Gesetze zu entwerfen.;die Bundesregierung zu kontrollieren.;den Bundeskanzler / die Bundeskanzlerin zu w\'e4hlen.;das Bundeskabinett zu bilden.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
66;Wer schrieb den Text zur deutschen Nationalhymne?;Friedrich von Schiller;Clemens Brentano;Johann Wolfgang von Goethe;Heinrich Hoffmann von Fallersleben;d;politik;Politik in der Demokratie;Staatssymbole;-;\
67;Was ist in Deutschland vor allem eine Aufgabe der Bundesl\'e4nder?;Verteidigungspolitik;Au\'dfenpolitik;Wirtschaftspolitik;Schulpolitik;d;politik;Politik in der Demokratie;F\'f6deralismus;-;\
68;Warum kontrolliert der Staat in Deutschland das Schulwesen?;weil es in Deutschland nur staatliche Schulen gibt;weil alle Sch\'fcler und Sch\'fclerinnen einen Schulabschluss haben m\'fcssen;weil es in den Bundesl\'e4ndern verschiedene Schulen gibt;weil es nach dem Grundgesetz seine Aufgabe ist;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;\
69;Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie hei\'dft die unterste politische Stufe?;Stadtr\'e4te;Landr\'e4te;Gemeinden;Bezirks\'e4mter;c;politik;Politik in der Demokratie;Kommune;-;\
70;Der deutsche Bundespr\'e4sident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was geh\'f6rt zu den Aufgaben des deutschen Bundespr\'e4sidenten / der deutschen Bundespr\'e4sidentin?;Er / Sie f\'fchrt die Regierungsgesch\'e4fte.;Er / Sie kontrolliert die Regierungspartei.;Er / Sie w\'e4hlt die Minister / Ministerinnen aus.;Er / Sie schl\'e4gt den Kanzler / die Kanzlerin zur Wahl vor.;d;politik;Politik in der Demokratie;Verfassungsorgane;frage_70;image,date,person\
71;Wo h\'e4lt sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am h\'e4ufigsten auf? Am h\'e4ufigsten ist er / sie ...;in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;auf Schloss Meseberg, dem G\'e4stehaus der Bundesregierung, um Staatsg\'e4ste zu empfangen.;auf Schloss Bellevue, dem Amtssitz des Bundespr\'e4sidenten / der Bundespr\'e4sidentin, um Staatsg\'e4ste zu empfangen.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
72;Wie hei\'dft der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?;Gerhard Schr\'f6der;J\'fcrgen R\'fcttgers;Klaus Wowereit;Olaf Scholz;d;politik;Politik in der Demokratie;Verfassungsorgane;-;person\
73;Die beiden gr\'f6\'dften Fraktionen im Deutschen Bundestag hei\'dfen zurzeit ...;CDU/CSU und SPD.;Die Linke und B\'fcndnis 90/Die Gr\'fcnen.;FDP und SPD.;Die Linke und FDP.;a;politik;Politik in der Demokratie;Parteien;-;\
74;Wie hei\'dft das Parlament f\'fcr ganz Deutschland?;Bundesversammlung;Volkskammer;Bundestag;Bundesgerichtshof;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
75;Wie hei\'dft Deutschlands heutiges Staatsoberhaupt?;Frank-Walter Steinmeier;Norbert Lammert;Wolfgang Thierse;Edmund Stoiber;a;politik;Politik in der Demokratie;Verfassungsorgane;-;person\
76;Was bedeutet die Abk\'fcrzung CDU in Deutschland?;Christliche Deutsche Union;Club Deutscher Unternehmer;Christlicher Deutscher Umweltschutz;Christlich Demokratische Union;d;politik;Politik in der Demokratie;Parteien;-;\
77;Was ist die Bundeswehr?;die deutsche Polizei;ein deutscher Hafen;eine deutsche B\'fcrgerinitiative;die deutsche Armee;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;\
78;Was bedeutet die Abk\'fcrzung SPD?;Sozialistische Partei Deutschlands;Sozialpolitische Partei Deutschlands;Sozialdemokratische Partei Deutschlands;Sozialgerechte Partei Deutschlands;c;politik;Politik in der Demokratie;Parteien;-;\
79;Was bedeutet die Abk\'fcrzung FDP in Deutschland?;Friedliche Demonstrative Partei;Freie Deutschland Partei;F\'fchrende Demokratische Partei;Freie Demokratische Partei;d;politik;Politik in der Demokratie;Parteien;-;\
80;Welches Gericht in Deutschland ist zust\'e4ndig f\'fcr die Auslegung des Grundgesetzes?;Oberlandesgericht;Amtsgericht;Bundesverfassungsgericht;Verwaltungsgericht;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
81;Wer w\'e4hlt den Bundeskanzler / die Bundeskanzlerin in Deutschland?;der Bundesrat;die Bundesversammlung;das Volk;der Bundestag;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
82;Wer leitet das deutsche Bundeskabinett?;der Bundestagspr\'e4sident / die Bundestagspr\'e4sidentin;der Bundespr\'e4sident / die Bundespr\'e4sidentin;der Bundesratspr\'e4sident / die Bundesratspr\'e4sidentin;der Bundeskanzler / die Bundeskanzlerin;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
83;Wer w\'e4hlt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?;das Volk;die Bundesversammlung;der Bundestag;die Bundesregierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
84;Welche Hauptaufgabe hat der deutsche Bundespr\'e4sident / die deutsche Bundespr\'e4sidentin? Er / Sie ...;regiert das Land.;entwirft die Gesetze.;repr\'e4sentiert das Land.;\'fcberwacht die Einhaltung der Gesetze.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
85;Wer bildet den deutschen Bundesrat?;die Abgeordneten des Bundestages;die Minister und Ministerinnen der Bundesregierung;die Regierungsvertreter der Bundesl\'e4nder;die Parteimitglieder;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
86;Wer w\'e4hlt in Deutschland den Bundespr\'e4sidenten / die Bundespr\'e4sidentin?;die Bundesversammlung;der Bundesrat;das Bundesparlament;das Bundesverfassungsgericht;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
87;Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?;der Bundeskanzler / die Bundeskanzlerin;der Bundespr\'e4sident / die Bundespr\'e4sidentin;der Bundesratspr\'e4sident / die Bundesratspr\'e4sidentin;der Bundestagspr\'e4sident / die Bundestagspr\'e4sidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;\
88;Die parlamentarische Opposition im Deutschen Bundestag ...;kontrolliert die Regierung.;entscheidet, wer Bundesminister / Bundesministerin wird.;bestimmt, wer im Bundesrat sitzt.;schl\'e4gt die Regierungschefs / Regierungschefinnen der L\'e4nder vor.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;\
89;Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?;Verband;\'c4ltestenrat;Fraktion;Opposition;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
90;Die deutschen Bundesl\'e4nder wirken an der Gesetzgebung des Bundes mit durch ...;den Bundesrat.;die Bundesversammlung.;den Bundestag.;die Bundesregierung.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
91;In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird ...;schwieriger, wenn sich dadurch die Mehrheit im Bundestag \'e4ndert.;leichter, wenn dadurch neue Parteien in den Bundesrat kommen.;schwieriger, wenn dadurch die Mehrheit im Bundesrat ver\'e4ndert wird.;leichter, wenn es sich um ein reiches Bundesland handelt.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
92;Was bedeutet die Abk\'fcrzung CSU in Deutschland?;Christlich Sichere Union;Christlich S\'fcddeutsche Union;Christlich Sozialer Unternehmerverband;Christlich Soziale Union;d;politik;Politik in der Demokratie;Parteien;-;\
93;Je mehr \'84Zweitstimmen\'93 eine Partei bei einer Bundestagswahl bekommt, desto ...;mehr Sitze erh\'e4lt die Partei im Parlament.;weniger Erststimmen kann sie haben.;mehr Direktkandidaten der Partei ziehen ins Parlament ein.;gr\'f6\'dfer ist das Risiko, eine Koalition bilden zu m\'fcssen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
94;Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?;16;18;21;23;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
95;Was gilt f\'fcr die meisten Kinder in Deutschland?;Wahlpflicht;Schulpflicht;Schweigepflicht;Religionspflicht;b;politik;Politik in der Demokratie;Pflichten;-;\
96;Was muss jeder deutsche Staatsb\'fcrger / jede deutsche Staatsb\'fcrgerin ab dem 16. Lebensjahr besitzen?;einen Reisepass;einen Personalausweis;einen Sozialversicherungsausweis;einen F\'fchrerschein;b;politik;Politik in der Demokratie;Pflichten;-;\
97;Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?;Sozialversicherung;Sozialhilfe;Kindergeld;Wohngeld;a;politik;Politik in der Demokratie;Sozialsystem;-;\
98;Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...;kann die Regierung ihre Mehrheit verlieren.;d\'fcrfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.;muss der Bundespr\'e4sident / die Bundespr\'e4sidentin zuvor sein / ihr Einverst\'e4ndnis geben.;d\'fcrfen die W\'e4hler / W\'e4hlerinnen dieser Abgeordneten noch einmal w\'e4hlen.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
99;Wer bezahlt in Deutschland die Sozialversicherungen?;Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen;nur Arbeitnehmer / Arbeitnehmerinnen;alle Staatsangeh\'f6rigen;nur Arbeitgeber / Arbeitgeberinnen;a;politik;Politik in der Demokratie;Sozialsystem;-;\
100;Was geh\'f6rt nicht zur gesetzlichen Sozialversicherung?;die gesetzliche Rentenversicherung;die Lebensversicherung;die Arbeitslosenversicherung;die Pflegeversicherung;b;politik;Politik in der Demokratie;Sozialsystem;-;\
101;Gewerkschaften sind Interessenverb\'e4nde der ...;Jugendlichen.;Arbeitnehmer und Arbeitnehmerinnen.;Rentner und Rentnerinnen.;Arbeitgeber und Arbeitgeberinnen.;b;politik;Politik in der Demokratie;Grundrechte;-;\
102;Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem ...;Bundesadler;Bundesverdienstkreuz;Vaterl\'e4ndischen Verdienstorden;Ehrentitel \'84Held der Deutschen Demokratischen Republik\'93;b;politik;Politik in der Demokratie;Recht und Alltag;-;difficult\
